
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ՎԱՀԱՆ	 հատող, հարվածող կամ խոցող սառը զենքերից պաշտպանվելու հնագույն զինատեսակ: Մարտիկը կրել է սովորաբար ձախ ձեռքին (ներսի կողմից հարմարեցված կաշվե, փայտե կամ մետաղե հատուկ բռնակի միջոցով), իսկ աջ ձեռքով գործադրել է հարձակողական զենքը: Տարբեր ժողովուրդների մոտ հանդիպում են տարբեր ձևերի (կլոր, ձվադիր, եռանկյուն, ուղղանկյուն, բազմանկյուն ևն) ու չափերի Վ-ներ: Հնագույն Վ-ները պատրաստվել են փայտից կամ հյուսվել ծառի դալար ճյուղերից, դիմացկուն դարձնելու համար դրանք պատել կաշվով, ավելի ուշ՝ նաև մետաղյա թիթեղներով: Ք.ա. II հազարամյակում տարածում են գտել նաև բրոնզե Վ-ները: Վանի թագավորության զորաբանակում կաշեպատ ու թիթեղապատ փայտե Վ-ներից բացի, օգտագործվել են նաև բրոնզե շրջանաձև Վ-ներ: Վանի արքաների բրոնզե Վ-ները, որոնք ունեն 0,7-1 մ տրամագիծ, արտաքին կողմից դրվագված են կենդանիների (առյուծ, ցուլ) բարձրաքանդակ պատկերներով, սեպաձև արձանագրությամբ (արտահայտում են կրողի անունը): Դրանք ներսի կողմից ունեն մեկ մեծ և երկու փոքր բռնակներ (մեծը՝ բռնելու, փոքրերը կաշեփոկերով բազկին ամրացնելու համար): Ծանրազեն հետևակայինները կրել են երկար (մարդահասակ) Վ-ներ, որոնք (վահանափակ շղթաներ ստեղծելու եղանակով) հակառակորդից պատնեշել են զորաճակատը և յուրայինների համար հարձակվելու կամ պաշտպանվելու հնարավորություն ստեղծել: Միջնադարյան զորաբանակներում տարբեր չափերի ու ձևերի Վ-ներ կրել են թե՛ հետևակային, թե՛ հեծելակ մարտիկները: Զենք ու զրահի կատարելագործման հետ Վ-ներն աստիճանաբար փոքրացվել են: Գործածությունից աստիճանաբար դուրս են մղվել հրազենի զարգացման ընթացքում: Այժմ Վ. գործադրվում է ոստիկանական հատուկ նշանակության ստորաբաժանումներում: Վ. համարվել է զինվորական պատվի ու հաղթանակի խորհրդանիշ: Հնում Վ-ի վրա երդվել են ռազմիկները: Վիրավոր կամ զոհված մարտիկներին մարտադաշտից տարել են Վ-ի վրա: Մարտի ժամանակ Վ-ի կորուստը դիտվել է մեծագույն անպատվություն: Մարտիկի Վ-ին դիպչելը նշանակել է մենամարտի հրավեր: Մարտում զոհվածի դին ծածկել են Վ-ով:
ՎԱՂՐ (ՃԿԻՌ)	 երկար շեղբով կացնաձև զենքի տեսակ: Կրել են ազդրի վրա: Միջնադարյան Հայաստանում եղել են վաղրավորների զորամասեր: Մովսես Խորենացու վկայությամբ՝ Վ-ով է սպանվել Հայոց Երվանդ վերջին թագավորը:
ՎԱՌ	 ծագում է պահլավերեն գրեթե նույն ձևով արտասանվող բառից և նշանակում է ասեղնագործած զարդարուն արքայական դրոշակ կամ նրբաթել քող: Միջնադարյան հայ պատմիչների կողմից բազմիցս կիրառված «խաչվառ» ձևը, որը նշանակում էր խաչակիր կամ խաչի դրոշակ, ևս Վ. բառի կիրառության օրինակ է: 
ՎԱՌՈԴ	 պինդ վիճակում գտնվող պայթուցիկ միացությունների կամ խառնուրդների հավաքական անվանում: Վ. պայթյունային քայքայումն ընթանում է հիմնականում շերտավոր այրման միջոցով և ջերմությունից բացի անջատում են մեծ քանակությամբ գազային նյութեր: Ի տարբերություն այլ պայթուցիկ նյութերի, Վ. այրումը ճնշումների մեծ միջակայքում (0,1-1000 մպա) կայուն ընթացող պրոցես է: Վ. այրման արագությունը կախված է նրա բաղադրությունից, սկզբնական ջերմաստիճանից և ճնշումից: Տարբերում են պլաստիֆիկացված, անծուխ և տարասեռ կամ խառնուրդային Վ.:
ՍԵՎ Վ.	 ներկայացնում էր սելիտրայի, ծծումբի և փայտածուխի մեխանիկական խառնուրդ: Եվրոպայում սկսել են օգտագործել XIII դարից (Ռ. Բեկոնը 1442թ. գտավ ՍՎ պատրաստելու եղանակը): Մինչև անծուխ վառոդի հայտնաբերումը ՍՎ հրազեններում և լեռնային գործում օգտագործվող միակ պայթուցիկ նյութն էր: ՍՎ ներկայումս օգտագործվում է նռնակների պայթուցիչների, հեռապայթող խողովակների, պայթուցիչների լցավորման և բիքֆորդյան լարերի պատրաստման համար: 
ԱՆԾՈՒԽ Վ.	 պիրոքսիլինի և նիտրոգլիցերինի հիմքի վրա սինթեզված վառոդ: Պիրոքսիլինային ԱՎ ստացել է Պ.Վյելը 1884թ. Ֆրանսիայում, իսկ նիտրոգլիցերինայինը` Ա.Նոբելը 1888թ. Նորվեգիայում: Մեր օրերում ԱՎ օգտագործվում են հրաձգային զենքերի, նռնակների, արկերի, ականների լիցքերը պատրաստելու համար:
ՎԱՐՁԿԱՆ ԲԱՆԱԿ	 զինվորական ծառայություն կատարելու համար արհեստավարժ զինվորներից հավաքագրվող բանակ: Ծագել է Ք.ա. III հազարամյակում Եգիպտոսում: Հիմնականում համալրվում էր օտարերկրացի վարձկաններով: 
ՎԵՐԱԴԱՍԱՎՈՐՈՒՄ	 զորաշարժի տեսակ, զորքերի կողմից իրականացվում է կարգը (երթային և մարտական), որում նրանք մինչ այդ գտնվում էին, փոխելու նպատակով: 
ՎԵՐՋԱՊԱՀ	 երթային պահպանության օրգան: Գլխավոր ուժերի հետքաշումն ապահովելու նպատակով հիմնական ուժերից առանձնացվող ստորաբաժանում: Վ. կազմը և գլխավոր ուժերից նրա հեռավորությունը որոշում է գլխավոր հրամանատարը` ելնելով պահպանվող զորքերի կազմից, տեղանքի պայմաններից, հակառակորդի դիրքից և գործողությունների բնույթից: Վ. խնդիրն է՝ դիմակայել հարձակվող հակառակորդին` ապահովելով նրանից գլխավոր ուժերի պոկվելը և նրանց կազմակերպված հետքաշումը:
ՎԻՐԱՎՈՐՎԱԾՈՒԹՅՈՒՆ	 մարդու մկանային համակարգի, կմախքի և ներքին օրգանների վնասվածություն (ամբողջության խախտում), որը կարող է խախտել դրանց ձևն ու գործունեությունը:
ՎՐԱՆ	 դաշտային պայմաններում արագ հավաքվող կտորե շինություն, անձնակազմը, պահեստները, մարտական տեխնիկան, բուժհաստատությունները, արհեստանոցները ևն տեղավորելու համար:
ՏԱՆԿ	 հզոր զենքով, ամբողջովին զրահապատ, բարձր անցունակության մարտական թրթուրավոր մեքենա, որը կարող է հաղթահարել արգելքներ և արգելափակոցներ: Հիմնական մասերն են. պտտվող աշտարակով զրահավորված իրանը, զենքի համալիրը, դիտման, նշանառման և այլ հարմարանքներ, ուժային տեղակայանքը, ուժային փոխանցումը՝ կառավարման հաղորդակներով, ընթացքային մասը, էլեկտրասարքավորումը, կապի միջոցները, հակահրդեհային և հակաատոմային պաշտպանության համակարգերը ևն: Ժամանակակից Տ. սարքավորված է ստորջրյա վարման համար նախատեսված հարմարանքով: Տ. իրանը և աշտարակը պատրաստվում են լեգիրված զրահային պողպատից: Հիմնական զենքը թնդանոթն է, օժանդակը՝ գնդացիրները: Տարբերվում են թեթև, միջին, ծանր և լողացող Տ.: Առաջին անգամ Տ. կիրառվել է անգլիական բանակում, 1916թ. սեպտեմբերի 15-ին Սոմա գետի մոտ հարձակման ժամանակ: 1960-ական թթ. տարբեր երկրներում սկսել են թողարկել մեկ հիմնական տիպի Տ., որը նախատեսված է զանազան մարտական խնդիրների լուծման համար: Նոր մշակումների շնորհիվ, ժամանակակից բազմաշերտ զրահով կառուցված տանկերը, պահպանելով միջին տանկերի քաշը, ձեռք են բերել ծանր տանկերի պաշտպանվածություն և սպառազինություն (մարտական քաշը` 40-50 տ, անձնակազմը` 3-4 մարդ, թնդանոթի տրամաչափը` 105-152 մմ, արագությունը՝ 50-70 կմ/ժ):
ՏԱՐԱԾԱՇՐՋԱՆ	 ռազմավարական շրջանի մաս, որի սահմաններում տեղավորված է պետության (պետությունների) ռազմատնտեսական ներուժը և ռազմական գործողությունները (ագրեսիայի) սկսելու դեպքում կարող են մեծամասշտաբ մարտական օպերացիաներ վարվել և ստացվել պատերազմի որոշ կամ բոլոր ռազմավարական նպատակները:
